tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,Dengue
31.1,22.2,26.9,36.7,22.2,29,24.5,87.6,0
31.1,23.4,26.5,36.3,23.4,28.3,24.7,90.5,0
32.1,23.1,27.8,38,23.1,30.6,24.2,81.9,0
34.4,24.6,28.9,41.1,24.6,32.4,23.9,75.9,0
33.1,25.2,28.2,39.4,25.2,31.3,24.6,82,0
31.1,22.2,27.1,37.9,22.2,29.5,24.1,84.1,0
31.4,24.7,27.8,37.9,24.7,30.1,23.4,77.7,0
31.5,23.3,26.9,37.9,23.3,29.1,24.4,87.1,1
28.1,20.7,24.7,32.4,20.7,25,23.3,91.9,1
28.1,20.4,24.3,31.7,20.4,24.5,23.1,93,0
29.1,22.4,25.2,32.9,22.4,26,22.8,87.6,1
31.1,21.6,25.6,35.6,21.6,26.9,22.7,85.6,1
30.1,22.8,25.7,36.3,22.8,27.1,23.3,87.1,1
29.1,23.7,25.6,32.9,23.7,26.6,23.3,87.9,0
29.1,23.1,25.4,32.1,23.1,26.1,22.9,86.9,0
27.1,20.4,24,29.7,20.4,24.2,22.5,91.8,0
30.1,21.4,25.1,33.4,21.4,26.1,22.1,84.7,0
31.1,21.8,25.5,34.7,21.8,26.7,23.1,87.8,1
30.1,22.9,25.8,34.3,22.9,27.1,23.2,86.1,1
30.1,23.8,26.5,34.3,23.8,27.9,23.1,82.1,1
31.1,22.7,26,36.7,22.7,27.4,22.9,83.6,0
30.1,23.4,26.1,35.2,23.4,27.3,22.9,83.4,1
28.1,20.7,24.7,32.1,20.7,25.2,22.7,89,1
31.1,22.9,25.6,34.7,22.9,26.6,22.2,82.3,0
26.1,21.9,23.4,26.1,21.9,23.4,22.4,94.5,0
28.4,20.9,24.3,31.8,20.9,24.9,22.5,90.3,0
30.1,21.1,25.1,34.3,21.1,26.2,22.4,86.2,0
31.1,21.9,26,36.7,21.9,27.7,23.1,85.5,1
29.1,22.8,25,33.7,22.8,26,23.1,89.7,0
32.3,21.8,25.5,38.1,21.8,27,22.8,86,1
31.1,22.3,26,35.6,22.3,27.6,22.7,82.8,0
31.5,22.6,26.7,36.7,22.6,28.6,23.4,83.2,0
30.1,23.4,26.8,35.2,23.4,28.4,23.4,82.4,0
31.1,22.6,26.5,35.2,22.6,28.1,22.9,81.4,0
30.1,22.3,25.5,34.3,22.3,26.8,22.5,84.6,0
28.5,22.1,24.6,31.6,22.1,25,22.4,88,0
29.1,23.4,25.6,32.9,23.4,26.8,22.9,85.3,1
27.1,22.7,24.5,29.3,22.7,24.7,22.8,90.7,0
29.8,21.1,24.9,33.3,21.1,25.8,22.6,88,1
28.1,22.5,24.8,31.5,22.5,25.4,22.8,88.4,0
29.1,22.3,24.9,32.9,22.3,25.8,22.3,85.9,0
29.1,21.4,24.9,33.7,21.4,26.1,22.5,87.2,0
31.1,21.9,25.3,34.3,21.9,26.2,21.8,82.6,1
31.1,21.1,25,33.1,21.1,25.8,20.3,76.3,1
37.6,29,33.3,46.3,33.9,39.5,23.9,59.7,1
37.1,25.6,31.3,48.1,25.6,38.5,25.6,73.6,1
37.5,28,31.9,42.9,33.6,38.5,24.8,67.2,0
41,29,33.1,47.6,34.6,40.2,24.7,62.5,0
37.6,25.4,32.6,47.1,25.4,39.9,25.3,67,0
29,25,27.2,38.2,25,31.4,26.6,96.2,0
34,25,27.8,43.2,25,31.8,26.1,91.3,1
34,26,28.9,43.9,26,35.1,26.7,89.5,0
30,26,27.3,38.2,26,31.7,26.6,96,1
29,25,27.1,38.2,25,31.2,26.5,97,0
30.1,24,26.7,40.7,24,30.3,25.8,95.4,1
33.1,25,29.4,46.2,25,36.8,26.9,87.1,0
34,28.9,31.6,44.3,33.2,40.5,26.2,73.8,0
35.4,29,31.7,44.9,32.8,39,25,68.6,1
35,23.6,30,45.3,23.6,35.7,24.9,75.6,0
33,24,28.6,42.3,24,33.1,25.1,82.6,0
34.7,26.9,30.8,43.5,30.1,38,25.7,75.4,0
35.6,28,31.8,44.9,33.5,39.9,26,72.8,1
36.6,28.4,31.9,47.2,34.8,41.6,26.9,76.5,0
36.4,28.9,32.1,49.3,36.6,42.1,27,76.1,1
36,28,30.6,48.1,33.6,39.6,26.9,81.6,1
36.1,27.4,31.5,47,32.6,40.4,26.7,77.2,0
35,29.3,31.9,46.7,36.4,42.3,27.3,77.8,0
32.4,24,26.9,44,24,30.3,25.7,93.3,0
30.7,25,27,38.5,25,30.8,25.8,93.2,1
31,26,27.4,41.3,26,31.5,26.5,94.7,0
33,25.6,28.4,44.2,25.6,34.6,26.7,91.2,1
32,26,28.6,44.2,26,35.4,26.8,90.4,0
32.5,27,30.1,40.9,31.3,37.3,26,79.7,0
32.2,28,29.8,42.3,32.9,37.3,26.3,82.4,0
33,27,30,42,30.6,37.4,26.2,80.6,0
34.7,26.3,30.5,45,26.3,39.8,27.3,83.5,1
34.6,26.9,30.9,49.6,30.9,41.2,27.5,82.8,0
35.4,29,31.2,49.6,37.9,42.5,28.1,84.2,0
32.7,27.9,29.2,47.2,34.5,38.5,27.9,92.7,0
32.7,27,29.6,46.2,31.2,38.3,27.3,88,0
33,25,27.5,46.6,25,32,26.1,92,1
33,27,30,42.1,31.2,37,25.8,78.9,0
32,26.1,29,44.2,26.1,36.2,26.6,87,0
35,27,30.5,44.9,31.2,39.1,26.9,82.1,0
33.4,27,29.6,46.6,31.9,39.2,27.9,90.9,0
34.7,28,30.9,49.5,34.5,41.1,27.6,83.4,1
33,28.8,30,42.4,35.7,38.7,27,84.5,0
31,26,28.9,40.7,26,36,26.7,87.9,0
32.6,25.4,28.6,42,25.4,34.1,25.8,85.4,1
32.3,25,29,41.2,25,34.8,26.1,85.1,1
34,27,30.2,43.8,31.1,37.7,26.2,80,0
32.5,27,29,42.2,31.2,36.7,27,89.5,1
34,27,28.3,45.3,31.2,34.6,26.6,90.9,1
28,25,26.5,34.5,25,28.8,26,97.3,1
32,26,27.8,44.2,26,32.7,26.3,91.7,1
33.1,26,29.5,45.1,26,36.6,26.7,85.5,1
32.4,24,28.9,44.2,24,35.8,26.6,87.8,0
33,25,29.4,44.3,25,36.6,26.7,86.2,0
34.1,27.9,31.1,46.9,34.2,41.1,27.4,81.3,1
34.6,26.4,31.1,46.7,26.4,41,27.4,81.6,0
34.6,28,31.1,48,34.5,42.3,28,84.2,0
